Num Trades
--- Varying: Lookback ---
Lookback,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average Total PnL,Average Trades,Average POW,Average Avg PnL,Average Max Drawdown,Average Sortino,Average Sharpe,Average Mean Losses,Average Mean Wins,Average T Stat,Overall T Stat,Overall P-Value,Overall Std,Avg Risk of Ruin,Overall Risk of Ruin
Volume Comparison,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average Total PnL,Average Trades,Average POW,Average Avg PnL,Average Max Drawdown,Average Sortino,Average Sharpe,Average Mean Losses,Average Mean Wins,Average T Stat,Overall T Stat,Overall P-Value,Overall Std,Avg Risk of Ruin,Overall Risk of Ruin
0.1000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.1500,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.2000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.2250,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.2500,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.2750,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.3000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.3250,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
0.3500,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
